文件名,版本号（最后一条版本号记录）,IMEI,开始时间,结束时间,start个数,drv_start个数,period个数,stop个数,stop_1个数,stop_all个数,stop_hold个数,stop_2个数,stop_pos个数,stop_ack个数,time_finish个数,AGPS开始个数,AGPS成功个数,AGPS失败个数
C:\Users\chuan.wang\Desktop\绿0816_路测.log,bb[MXT535-V100C001B007s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[],8.67E+14,2016-08-16 09:57:07,2016-08-16 11:41:20,287,142,145,13,10,1,0,1,0,1,142,1,1,0
D:\log\srv_logs\绾?816.log,bb[MXT535-V100C001B007s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[],8.67E+14,2016-08-16 07:39:35,2016-08-16 13:18:50,335,123,212,21,19,1,0,0,1,0,122,2,3,0
D:\log\srv_logs\缁?816.log,bb[MXT535-V100C001B007s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[],8.67E+14,2016-08-16 00:02:01,2016-08-16 12:30:33,695,145,550,14,11,1,0,1,0,1,144,2,2,0
C:\Users\chuan.wang\Desktop\绾?816E.log,bb[MXT535-V100C001B007s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[],8.67E+14,2016-08-16 18:45:26,2016-08-16 19:52:14,67,32,35,23,22,0,0,1,0,0,32,0,1,1
C:\Users\chuan.wang\Desktop\缁?816E.log,bb[MXT535-V100C001B007s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[],8.67E+14,2016-08-16 18:45:34,2016-08-16 19:43:24,55,23,32,13,13,0,0,0,0,0,21,0,1,1
C:\Users\chuan.wang\Desktop\E5_20160816.log,bb[MXT535-BD-V100C001B007T001] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[MXT535BD_BLE_V1.0.8],8.67E+14,2016-08-16 08:14:02,2016-08-16 13:19:44,207,74,133,14,9,2,0,0,3,0,72,2,4,0
C:\Users\chuan.wang\Desktop\E5_20160816.log,bb[MXT535-BD-V100C001B007T001] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[MXT535BD_BLE_V1.0.8],8.67E+14,2016-08-16 08:14:02,2016-08-16 13:19:44,207,74,133,14,9,2,0,0,3,0,72,2,4,0
D:\log\srv_logs\绿0816E.log,bb[MXT535-V100C001B007s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[],8.66888E+14,2016-08-16 18:45:34,2016-08-16 19:43:24,55,23,32,13,13,0,0,0,0,0,21,0,1,1
C:\Users\chuan.wang\Desktop\#38_0817.log,None,866888020231495,2016-08-17 00:00:23,2016-08-17 22:28:14,1,0,1,17,5,2,0,0,9,1,59,8,11,0
C:\Users\chuan.wang\Desktop\LBS39_20160817.log,bb[MXT535-BD-V100C001B007T001] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[MXT535BD_BLE_V1.0.8],866888020231586,2016-08-17 07:35:22,2016-08-17 16:58:04,182,82,100,62,49,7,0,5,1,0,87,1,4,3
C:\Users\chuan.wang\Desktop\E9_0821_part.log,bb[MXT535-V100C001B007s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[],866888020099116,2016-08-21 12:13:53,2016-08-21 14:10:23,104,44,60,36,36,0,0,0,0,0,39,2,1,0
C:\Users\chuan.wang\Desktop\E9_0821_part.log,bb[MXT535-V100C001B007s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[],866888020099116,2016-08-21 12:13:53,2016-08-21 14:10:23,104,44,60,36,36,0,0,0,0,0,39,2,1,0
C:\Users\chuan.wang\Desktop\E9_0821_part.log,bb[MXT535-V100C001B007s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[],866888020099116,2016-08-21 12:13:53,2016-08-21 14:10:23,104,44,60,36,36,0,0,0,0,0,39,2,1,0
C:\Users\chuan.wang\Desktop\E9_0821_part.log,bb[MXT535-V100C001B007s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[],866888020099116,2016-08-21 12:13:53,2016-08-21 14:10:23,104,44,60,36,36,0,0,0,0,0,39,2,1,0
C:\Users\chuan.wang\Desktop\E9_0821_part.log,bb[MXT535-V100C001B007s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[],866888020099116,2016-08-21 12:13:53,2016-08-21 14:10:23,104,44,60,36,36,0,0,0,0,0,39,2,1,0
C:\Users\chuan.wang\Desktop\红0819.log,bb[MXT535-V100C001B007s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[],866888020211950,2016-08-19 00:21:31,2016-08-19 21:41:17,757,106,651,57,48,0,9,0,0,0,102,2,5,1
C:\Users\chuan.wang\Desktop\红0819.log,bb[MXT535-V100C001B007s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[],866888020211950,2016-08-19 00:21:31,2016-08-19 21:41:17,757,106,651,57,48,0,9,0,0,0,102,2,5,1
C:\Users\chuan.wang\Desktop\红0822.log,bb[MXT535-V100C001B007s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[],866888020211950,2016-08-22 07:35:40,2016-08-22 09:18:12,99,44,55,33,31,0,0,1,1,0,40,1,2,0
C:\Users\chuan.wang\Desktop\E9_0819.log,bb[MXT535-V100C001B007s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[],866888020099116,2016-08-19 17:53:43,2016-08-20 00:15:45,318,95,223,59,56,1,0,1,0,1,86,3,4,0
C:\Users\chuan.wang\Desktop\E9_0819.log,bb[MXT535-V100C001B007s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[],866888020099116,2016-08-19 17:53:43,2016-08-20 00:15:45,318,95,223,59,56,1,0,1,0,1,86,3,4,0
C:\Users\chuan.wang\Desktop\E9_0821.log,bb[MXT535-V100C001B007s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[],866888020099116,2016-08-21 00:12:35,2016-08-21 19:50:25,837,80,757,47,47,0,0,0,0,0,71,5,4,0
C:\Users\chuan.wang\Desktop\LBS39_20160817.log,bb[MXT535-BD-V100C001B007T001] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[MXT535BD_BLE_V1.0.8],866888020231586,2016-08-17 07:35:22,2016-08-17 16:58:04,182,82,100,62,49,7,0,5,1,0,87,1,4,3
C:\Users\chuan.wang\Desktop\LBS39_20160817.log,bb[MXT535-BD-V100C001B007T001] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[MXT535BD_BLE_V1.0.8],866888020231586,2016-08-17 07:35:22,2016-08-17 16:58:04,182,82,100,62,49,7,0,5,1,0,87,1,4,3
C:\Users\chuan.wang\Desktop\E5_20160816.log,bb[MXT535-BD-V100C001B007T001] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[MXT535BD_BLE_V1.0.8],866888020099462,2016-08-16 08:14:02,2016-08-16 13:19:44,207,74,133,14,9,2,0,0,3,0,72,2,4,0
C:\Users\chuan.wang\Desktop\E5_20160816.log,bb[MXT535-BD-V100C001B007T001] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[MXT535BD_BLE_V1.0.8],866888020099462,2016-08-16 08:14:02,2016-08-16 13:19:44,207,74,133,14,9,2,0,0,3,0,72,2,4,0,"[29, 29, 10, 10, 11, 10, 10, 10, 13, 11, 11, 10, 11, 10, 29, 11, 29, 41, 11, 11, 10, 38, 32, 33, 89, 47, 21, 19, 89, 15, 14, 17, 16, 17, 45, 16, 13, 14, 19, 13, 16, 17, 12, 18, 18, 19, 17, 13, 17, 13, 31, 29, 29, 29, 29, 11, 13, 13, 12, 12, 14, 14, 15, 17, 21, 14, 13, 10, 74, 21, 29, 29]"
