文件名,版本号（最后一条版本号记录）,IMEI,开始时间,结束时间,start个数,drv_start个数,period个数,stop个数,stop_1个数,stop_all个数,stop_hold个数,stop_2个数,stop_pos个数,stop_ack个数,time_finish个数,AGPS开始个数,AGPS成功个数,AGPS失败个数
D:\log\srv_logs\xsk0712.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246812345,2016-07-12 10:20:28,2016-07-13 12:26:17,834,84,750,58,48,0,0,0,10,0,91,2,11,2
D:\log\srv_logs\xsk0712.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246812345,2016-07-12 10:20:28,2016-07-13 12:26:17,834,84,750,58,48,0,0,0,10,0,91,2,11,2
D:\log\srv_logs\xsk0712.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246812345,2016-07-12 10:20:28,2016-07-13 12:26:17,834,84,750,58,48,0,0,0,10,0,91,2,11,2
D:\log\srv_logs\xsk0712.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246812345,2016-07-12 10:20:28,2016-07-13 12:26:17,834,84,750,58,48,0,0,0,10,0,91,2,11,2
D:\log\srv_logs\xsk0713.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246812345,2016-07-13 16:23:40,2016-07-14 08:55:38,543,61,482,32,28,0,0,0,4,0,62,1,5,0
C:\Users\chuan.wang\Desktop\xsk0719.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246812345,2016-07-18 23:59:55,2016-07-19 12:21:07,462,90,372,13,10,1,0,0,2,0,88,3,3,0
D:\log\srv_logs\xsk0715.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246812345,2016-07-15 10:41:56,2016-07-16 18:47:43,1059,231,828,66,51,2,0,3,10,0,236,5,12,4
D:\log\srv_logs\xsk0715.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246812345,2016-07-15 10:41:56,2016-07-16 18:47:43,1059,231,828,66,51,2,0,3,10,0,236,5,12,4
D:\log\srv_logs\xsk0715.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246812345,2016-07-15 10:41:56,2016-07-16 18:47:43,1059,231,828,66,51,2,0,3,10,0,236,5,12,4
D:\log\srv_logs\xsk0716.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246812345,2016-07-16 18:48:01,2016-07-17 10:28:45,524,58,466,25,22,0,0,3,0,0,54,3,2,0
D:\log\srv_logs\xsk0716.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246812345,2016-07-16 18:48:01,2016-07-17 10:28:45,524,58,466,25,22,0,0,3,0,0,54,3,2,0
D:\log\srv_logs\xsk0713-part.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246812345,2016-07-13 20:06:21,2016-07-13 21:18:19,64,32,32,10,10,0,0,0,0,0,32,0,1,0
D:\log\srv_logs\xsk0713-part.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246812345,2016-07-13 20:06:21,2016-07-13 21:18:19,64,32,32,10,10,0,0,0,0,0,32,0,1,0
D:\log\srv_logs\xsk0716.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246812345,2016-07-16 18:48:01,2016-07-17 10:28:45,524,58,466,25,22,0,0,3,0,0,54,3,2,0
D:\log\srv_logs\xsk0716.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246812345,2016-07-16 18:48:01,2016-07-17 10:28:45,524,58,466,25,22,0,0,3,0,0,54,3,2,0
D:\log\srv_logs\xsk0716.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246812345,2016-07-16 18:48:01,2016-07-17 10:28:45,524,58,466,25,22,0,0,3,0,0,54,3,2,0
C:\Users\chuan.wang\Desktop\学生卡坐地铁路测有一段无轨迹.log,bb[MXT1501S-V100C001B001E001] gnss[FW Ver:MXT535S-V300C001B002E5278] bt[none],867478020006524,2016-07-19 14:41:12,2016-07-20 09:33:45,639,85,554,45,39,0,0,3,1,2,83,4,6,1
C:\Users\chuan.wang\Desktop\学生卡坐地铁路测有一段无轨迹.log,bb[MXT1501S-V100C001B001E001] gnss[FW Ver:MXT535S-V300C001B002E5278] bt[none],867478020006524,2016-07-19 14:41:12,2016-07-20 09:33:45,639,85,554,45,39,0,0,3,1,2,83,4,6,1
C:\Users\chuan.wang\Desktop\学生卡坐地铁路测有一段无轨迹.log,bb[MXT1501S-V100C001B001E001] gnss[FW Ver:MXT535S-V300C001B002E5278] bt[none],867478020006524,2016-07-19 14:41:12,2016-07-20 09:33:45,639,85,554,45,39,0,0,3,1,2,83,4,6,1
C:\Users\chuan.wang\Desktop\学生卡坐地铁路测有一段无轨迹.log,bb[MXT1501S-V100C001B001E001] gnss[FW Ver:MXT535S-V300C001B002E5278] bt[none],867478020006524,2016-07-19 14:41:12,2016-07-20 09:33:45,639,85,554,45,39,0,0,3,1,2,83,4,6,1
C:\Users\chuan.wang\Desktop\学生卡坐地铁路测有一段无轨迹.log,bb[MXT1501S-V100C001B001E001] gnss[FW Ver:MXT535S-V300C001B002E5278] bt[none],867478020006524,2016-07-19 14:41:12,2016-07-20 09:33:45,639,85,554,45,39,0,0,3,1,2,83,4,6,1
C:\Users\chuan.wang\Desktop\学生卡坐地铁路测有一段无轨迹.log,bb[MXT1501S-V100C001B001E001] gnss[FW Ver:MXT535S-V300C001B002E5278] bt[none],867478020006524,2016-07-19 14:41:12,2016-07-20 09:33:45,639,85,554,45,39,0,0,3,1,2,83,4,6,1
C:\Users\chuan.wang\Desktop\学生卡坐地铁路测有一段无轨迹.log,bb[MXT1501S-V100C001B001E001] gnss[FW Ver:MXT535S-V300C001B002E5278] bt[none],867478020006524,2016-07-19 14:41:12,2016-07-20 09:33:45,639,85,554,45,39,0,0,3,1,2,83,4,6,1
C:\Users\chuan.wang\Desktop\学生卡坐地铁路测有一段无轨迹.log,bb[MXT1501S-V100C001B001E001] gnss[FW Ver:MXT535S-V300C001B002E5278] bt[none],867478020006524,2016-07-19 14:41:12,2016-07-20 09:33:45,639,85,554,45,39,0,0,3,1,2,83,4,6,1
C:\Users\chuan.wang\Desktop\xsk0720.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246812345,2016-07-20 19:22:30,2016-07-21 08:25:30,454,63,391,13,12,0,0,0,1,0,58,1,2,0
D:\log\srv_logs\红0713.log,bb[MXT535-V100C001B006s] gnss[FW Ver:MXT535S-V300C001B002E5316] bt[],866888020211950,2016-07-13 09:45:13,2016-07-14 07:26:02,540,43,497,15,10,0,0,0,5,0,49,0,6,1
D:\log\srv_logs\绿0713.log,bb[MXT535-BD-V100C001B006T002] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[],866888020211497,2016-07-13 09:00:07,2016-07-14 00:17:35,410,53,357,38,28,0,0,5,5,0,61,1,10,0
D:\log\srv_logs\红0712.log,bb[MXT535-V100C001B006s] gnss[FW Ver:MXT535S-V300C001B002E5316] bt[],866888020211950,2016-07-12 14:06:17,2016-07-13 04:13:14,530,57,473,21,16,0,1,0,4,0,62,1,5,0
D:\log\srv_logs\xsk0720.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246812345,2016-07-20 19:22:30,2016-07-21 08:25:30,454,63,391,13,12,0,0,0,1,0,58,1,2,0
D:\log\srv_logs\xsk0719.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246812345,2016-07-18 23:59:55,2016-07-19 12:21:07,462,90,372,13,10,1,0,0,2,0,88,3,3,0
C:\Users\chuan.wang\Desktop\xsk0721_all.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246812345,2016-07-21 14:28:23,2016-07-22 00:10:05,186,68,118,42,10,0,2,1,12,17,67,30,33,0
C:\Users\chuan.wang\Desktop\xsk0722_1.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246812345,2016-07-22 00:10:29,2016-07-22 09:40:00,309,31,278,23,22,0,0,1,0,0,30,1,1,0
C:\Users\chuan.wang\Desktop\xsk6847_0721E.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5278] bt[none],867478020006847,2016-07-21 00:59:20,2016-07-22 00:10:19,640,91,549,15,14,0,0,0,0,1,92,2,3,0
C:\Users\chuan.wang\Desktop\xsk6847_0722M.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5278] bt[none],867478020006847,2016-07-22 00:10:43,2016-07-22 09:41:33,308,29,279,20,19,0,0,0,1,0,29,1,1,0
C:\Users\chuan.wang\Desktop\xsk0722.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246812345,2016-07-22 00:10:29,2016-07-22 23:59:15,765,82,683,51,50,0,0,1,0,0,78,3,4,0
C:\Users\chuan.wang\Desktop\绿0722.log,bb[MXT535-BD-V100C001B006T002] gnss[FW Ver:MXT535S-V300C001B002E5329] bt[],866888020211497,2016-07-22 18:11:24,2016-07-23 00:23:32,263,49,214,38,38,0,0,0,0,0,50,2,3,1
C:\Users\chuan.wang\Desktop\红0722.log,bb[MXT535-V100C001B006s] gnss[FW Ver:MXT535S-V300C001B002E5329] bt[],866888020211950,2016-07-22 18:11:22,2016-07-22 20:25:07,130,60,70,33,33,0,0,0,0,0,57,1,2,1
C:\Users\chuan.wang\Desktop\xsk0725.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246812345,2016-07-25 18:27:00,2016-07-26 00:14:49,212,41,171,12,12,0,0,0,0,0,39,1,2,0
C:\Users\chuan.wang\Desktop\xsk0726.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],135790246812345,2016-07-26 00:15:19,2016-07-26 08:57:26,278,25,253,19,17,0,0,2,0,0,23,1,1,0
C:\Users\chuan.wang\Desktop\device0726-56-EVT1.log,bb[MXT1501S-V100C001B001E002] gnss[FW Ver:MXT535S-V300C001B002E5278] bt[none],201607010000056,2016-07-26 08:15:37,2016-07-26 08:54:51,54,22,32,4,4,0,0,0,0,0,23,0,1,1
C:\Users\chuan.wang\Desktop\红0728.log,bb[MXT535-BD-V100C001B006T005] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[],866888020211950,2016-07-28 00:19:07,2016-07-28 23:59:31,665,114,551,109,64,8,0,1,36,0,111,9,4,2
C:\Users\chuan.wang\Desktop\学生卡3302.log,bb[MXT1501S-V100C001B002E001] gnss[FW Ver:MXT535S-V300C001B002E5329] bt[none],867478020053302,2016-07-29 00:09:44,2016-07-29 10:51:31,661,47,614,28,27,0,0,0,1,0,46,2,2,0
C:\Users\chuan.wang\Desktop\535yupeng_0729.log,bb[MXT535-V100C001B006s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[],866888020212099,2016-07-29 13:01:53,2016-07-29 20:50:17,236,104,132,41,36,3,0,1,1,0,103,1,5,1
C:\Users\chuan.wang\Desktop\535yupeng_0801.log,bb[MXT535-V100C001B006s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[],866888020212099,2016-08-01 00:26:48,2016-08-01 09:00:03,435,120,315,38,36,0,0,0,2,0,111,3,3,0
C:\Users\chuan.wang\Desktop\535yupeng_0730.log,bb[MXT535-V100C001B006s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[],866888020212099,2016-07-31 00:15:32,2016-08-01 00:25:18,964,7,957,7,4,1,0,2,0,0,7,2,2,0
C:\Users\chuan.wang\Desktop\xsk0729E.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5329] bt[none],135790246812345,2016-07-29 18:28:41,2016-07-30 00:01:45,191,26,165,12,11,1,0,0,0,0,25,0,2,0
C:\Users\chuan.wang\Desktop\xsk0801E.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5329] bt[none],135790246812345,2016-08-01 18:36:36,2016-08-02 00:22:59,203,34,169,14,12,2,0,0,0,0,32,0,1,0
C:\Users\chuan.wang\Desktop\红0804.log,bb[MXT535-V100C001B006s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[],866888020211950,2016-08-04 13:48:54,2016-08-05 00:08:22,223,63,160,19,12,4,0,0,3,0,65,1,3,2
C:\Users\chuan.wang\Desktop\ES01-0806.log,bb[MXT535-V100C001B006s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[MXT535BD_BLE_V1.0.8],866888020099108,2016-08-06 00:15:09,2016-08-07 00:02:10,869,125,744,58,57,0,0,0,1,0,114,4,5,0
C:\Users\chuan.wang\Desktop\ES01-0807.log,bb[MXT535-V100C001B006s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[MXT535BD_BLE_V1.0.8],866888020099108,2016-08-07 00:03:40,2016-08-07 18:34:13,801,98,703,48,45,2,0,1,0,0,87,5,5,0
C:\Users\chuan.wang\Desktop\xsk3310-0805.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5278] bt[none],867478020053310,2016-08-05 00:14:03,2016-08-06 00:52:59,1420,193,1227,106,96,7,0,1,2,0,163,6,5,1
C:\Users\chuan.wang\Desktop\xsk3310-0806.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5278] bt[none],867478020053310,2016-08-06 00:54:19,2016-08-07 00:15:33,397,158,239,149,123,18,0,8,0,0,157,5,6,0
C:\Users\chuan.wang\Desktop\xsk3310-0808.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5278] bt[none],867478020053310,2016-08-08 00:21:43,2016-08-08 09:35:29,416,142,274,52,50,0,0,0,2,0,125,5,4,1
C:\Users\chuan.wang\Desktop\红0805 (2).log,bb[MXT535-V100C001B006s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[],866888020211950,2016-08-05 00:11:22,2016-08-05 23:58:12,355,64,291,22,16,3,0,1,2,0,60,2,3,0
C:\Users\chuan.wang\Desktop\绿0805 (2).log,bb[MXT535-V100C001B006s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[],866888020211497,2016-08-05 00:10:59,2016-08-06 00:05:44,327,35,292,9,9,0,0,0,0,0,34,0,2,1
C:\Users\chuan.wang\Desktop\红0807.log,bb[MXT535-V100C001B006s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[],866888020211950,2016-08-07 00:13:14,2016-08-07 17:13:28,391,52,339,19,18,1,0,0,0,0,50,4,4,0
C:\Users\chuan.wang\Desktop\xsk3310_0808.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5278] bt[none],867478020053310,2016-08-08 00:21:43,2016-08-08 23:46:57,852,168,684,66,62,1,0,0,3,0,147,8,5,1
C:\Users\chuan.wang\Desktop\xsk3310_0809.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5278] bt[none],867478020053310,2016-08-09 00:06:58,2016-08-09 08:51:29,33,11,22,5,4,1,0,0,0,0,9,1,1,0
C:\Users\chuan.wang\Desktop\xsk3310_0808.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5278] bt[none],867478020053310,2016-08-08 00:21:43,2016-08-08 23:46:57,852,168,684,66,62,1,0,0,3,0,147,8,5,1
C:\Users\chuan.wang\Desktop\xsk3310_0808.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5278] bt[none],867478020053310,2016-08-08 00:21:43,2016-08-08 23:46:57,852,168,684,66,62,1,0,0,3,0,147,8,5,1
C:\Users\chuan.wang\Desktop\红0808.log,bb[MXT535-V100C001B006s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[],866888020211950,2016-08-08 17:31:48,2016-08-09 00:15:56,137,28,109,13,8,2,0,1,2,0,30,1,3,0
C:\Users\chuan.wang\Desktop\xsk3310_0808.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5278] bt[none],867478020053310,2016-08-08 00:21:43,2016-08-08 23:46:57,852,168,684,66,62,1,0,0,3,0,147,8,5,1
C:\Users\chuan.wang\Desktop\E9_0813.log,bb[MXT535-V100C001B007s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[MXT535BD_BLE_V1.0.8],866888020099116,2016-08-13 00:26:47,2016-08-14 00:22:12,984,118,866,61,56,0,0,5,0,0,106,7,6,5
C:\Users\chuan.wang\Desktop\E9_0814.log,bb[MXT535-V100C001B007s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[MXT535BD_BLE_V1.0.8],866888020099116,2016-08-14 00:23:13,2016-08-14 21:05:39,871,85,786,51,50,1,0,0,0,0,77,7,7,1
C:\Users\chuan.wang\Desktop\2099_0812.log,bb[MXT535-V100C001B007s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[],866888020212099,2016-08-12 00:17:06,2016-08-13 00:16:06,917,121,796,45,39,2,0,2,2,0,115,5,7,2
C:\Users\chuan.wang\Desktop\2099_0815M.log,bb[MXT535-V100C001B007s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[],866888020212099,2016-08-15 00:11:50,2016-08-15 09:01:30,441,116,325,40,37,0,0,2,0,1,113,3,3,0
C:\Users\chuan.wang\Desktop\红0815_part.log,bb[MXT535-V100C001B007s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[],866888020211950,2016-08-15 18:24:44,2016-08-15 19:46:12,83,39,44,25,25,0,0,0,0,0,36,1,1,0
C:\Users\chuan.wang\Desktop\绿0815_part.log,bb[MXT535-V100C001B007s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[],866888020211497,2016-08-15 18:24:28,2016-08-15 19:44:29,81,37,44,24,24,0,0,0,0,0,35,1,1,1
C:\Users\chuan.wang\Desktop\绿0816_路测.log,bb[MXT535-V100C001B007s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[],866888020211497,2016-08-16 09:57:07,2016-08-16 11:41:20,287,142,145,13,10,1,0,1,0,1,142,1,1,0
